2023-01-29 16:07:02,554 INFO u.Log [main] ---------------------------------------------------------------------------------------
2023-01-29 16:07:02,558 INFO u.Log [main] ***********************        Product List START    **************************
2023-01-29 16:07:02,558 INFO u.Log [main] ---------------------------------------------------------------------------------------
2023-01-29 16:07:02,576 INFO u.Log [main] [id:1, name:Blue Top, price:Rs. 500, brand:Polo, category:[usertype:[usertype:Women], category:Tops]]
2023-01-29 16:07:02,987 INFO u.Log [main] [id:28, name:Pure Cotton V-Neck T-Shirt, price:Rs. 1299, brand:H&M, category:[usertype:[usertype:Men], category:Tshirts]]
2023-01-29 16:07:03,004 INFO u.Log [main] [id:29, name:Green Side Placket Detail T-Shirt, price:Rs. 1000, brand:Polo, category:[usertype:[usertype:Men], category:Tshirts]]
2023-01-29 16:07:03,022 INFO u.Log [main] [id:30, name:Premium Polo T-Shirts, price:Rs. 1500, brand:Polo, category:[usertype:[usertype:Men], category:Tshirts]]
2023-01-29 16:07:03,039 INFO u.Log [main] [id:31, name:Pure Cotton Neon Green Tshirt, price:Rs. 850, brand:H&M, category:[usertype:[usertype:Men], category:Tshirts]]
2023-01-29 16:07:03,063 INFO u.Log [main] [id:33, name:Soft Stretch Jeans, price:Rs. 799, brand:Polo, category:[usertype:[usertype:Men], category:Jeans]]
2023-01-29 16:07:03,083 INFO u.Log [main] [id:35, name:Regular Fit Straight Jeans, price:Rs. 1200, brand:H&M, category:[usertype:[usertype:Men], category:Jeans]]
2023-01-29 16:07:03,127 INFO u.Log [main] [id:37, name:Grunt Blue Slim Fit Jeans, price:Rs. 1400, brand:Polo, category:[usertype:[usertype:Men], category:Jeans]]
2023-01-29 16:07:03,148 INFO u.Log [main] [id:38, name:Rose Pink Embroidered Maxi Dress, price:Rs. 2300, brand:Madame, category:[usertype:[usertype:Women], category:Dress]]
2023-01-29 16:07:03,162 INFO u.Log [main] [id:39, name:Cotton Silk Hand Block Print Saree, price:Rs. 3000, brand:Biba, category:[usertype:[usertype:Women], category:Saree]]
2023-01-29 16:07:03,180 INFO u.Log [main] [id:40, name:Rust Red Linen Saree, price:Rs. 3500, brand:Biba, category:[usertype:[usertype:Women], category:Saree]]
2023-01-29 16:07:03,197 INFO u.Log [main] [id:41, name:Beautiful Peacock Blue Cotton Linen Saree, price:Rs. 5000, brand:Madame, category:[usertype:[usertype:Women], category:Saree]]
2023-01-29 16:07:03,216 INFO u.Log [main] [id:42, name:Lace Top For Women, price:Rs. 1400, brand:Mast & Harbour, category:[usertype:[usertype:Women], category:Tops]]
2023-01-29 16:07:03,236 INFO u.Log [main] [id:43, name:GRAPHIC DESIGN MEN T SHIRT - BLUE, price:Rs. 1389, brand:Mast & Harbour, category:[usertype:[usertype:Men], category:Tshirts]]
2023-01-29 16:07:03,245 INFO u.Log [main] ---------------------------------------------------------------------------------------
2023-01-29 16:07:03,246 INFO u.Log [main] **************************        Product List End END    **************************
2023-01-29 16:07:03,246 INFO u.Log [main] ---------------------------------------------------------------------------------------
